Dep_reg_code,Arr_reg_code,Total
29,41,1
29,42,1
29,43,1.8
29,44,1.2
29,45,0
29,46,0.8
29,47,0
30,1,0
30,2,0.1
30,3,0.6
30,4,1
30,5,0.1
30,6,0.1
30,7,1.5
30,8,2.8
30,9,3.1
30,10,2.1
30,11,7
30,12,11
30,13,213.068
30,14,35.7
30,15,1.3
30,16,2.6
30,17,7.1
30,18,4.8
30,19,0.9
30,20,3.6
30,21,6.4
30,22,13.9
30,23,56.1
30,24,80.9
30,25,16.3
30,26,93.8
30,27,5323.1
30,28,100.6
30,29,251.8
30,30,0
30,31,1.2
30,32,1.1
30,33,13
30,34,18.8
30,35,5.8
30,36,66.415
30,37,2.3
30,38,1.2
30,39,0.6
30,40,17.1
30,41,1.2
30,42,1.2
30,43,2.3
30,44,2.3
30,45,0
30,46,1.3
30,47,0
31,1,0
31,2,0.1
31,3,0.1
31,4,0.1
31,5,0
31,6,0
31,7,0.2
31,8,0.8
31,9,0.9
31,10,0
31,11,1.8
31,12,2.2
31,13,487.786
31,14,10.1
31,15,0.6
31,16,1.2
31,17,2.8
31,18,1.4
31,19,0.1
31,20,2.1
31,21,3
31,22,8.2
31,23,25.1
31,24,0
31,25,3.7
31,26,36.8
31,27,150.4
31,28,137.9
31,29,1
31,30,1.2
31,31,0
31,32,557.6
31,33,125.1
31,34,49.6
31,35,10.1
31,36,1.4
31,37,6.4
31,38,2.5
31,39,1.1
31,40,22.4
31,41,1.5
31,42,2.1
31,43,3
31,44,2.3
31,45,0.3
31,46,2.3
31,47,0
32,1,2.612
32,2,0
32,3,0
32,4,18.859
32,5,0
32,6,0
32,7,0.2
32,8,1
32,9,0.5
32,10,0.2
32,11,1.8
32,12,2.2
32,13,384.66
32,14,11.8
32,15,0.8
32,16,1.2
32,17,2.1
32,18,1.9
32,19,0
32,20,1.6
32,21,2.2
32,22,28.847
32,23,60.036
32,24,0.1
32,25,2.9
32,26,14.5
32,27,201.458
32,28,35.932
32,29,0.2
32,30,1.1
32,31,553.4
32,32,0
32,33,95.2
32,34,15.2
32,35,70.2
32,36,1.9
32,37,5.4
32,38,1.7
32,39,1.1
32,40,48.92
32,41,1.5
32,42,2.1
32,43,2.9
32,44,2.6
32,45,0.2
32,46,2.2
32,47,0
33,1,38.501
33,2,2
33,3,3.3
33,4,8.9
33,5,0.7
33,6,2.2
33,7,8.1
33,8,9.7
33,9,10.1
33,10,6.8
33,11,22.4
33,12,49
33,13,1342.233
33,14,223.9
33,15,8.4
33,16,11.2
33,17,28.2
33,18,14.3
33,19,3.5
33,20,15.2
33,21,24.6
33,22,84.5
33,23,338
33,24,3.2
33,25,34.8
33,26,298.7
33,27,1926.8
33,28,1636.9
33,29,6.5
33,30,12.9
33,31,125.8
33,32,98.4
33,33,0
33,34,4399.7
33,35,163
33,36,45.3
33,37,2909.8351
33,38,158.5
33,39,64.6
33,40,430.6
33,41,14.4
33,42,17.4
33,43,46.9
33,44,21.7
33,45,4.3
33,46,40.6
33,47,45.171
34,1,76.818
34,2,5.3
34,3,6.1
34,4,49.006
34,5,1.1
34,6,4
34,7,14.6
34,8,15.5
34,9,19.7
34,10,10.2
34,11,35.6
34,12,199.787
34,13,2308.685
34,14,378.7
34,15,14.1
34,16,18.3
34,17,46
34,18,22.3
34,19,5
34,20,26
34,21,38.7
34,22,130.1
34,23,503.5
34,24,6.1
34,25,52
34,26,448
34,27,2109.1
34,28,762.1
34,29,8.6
34,30,18.4
34,31,48.7
34,32,14.8
34,33,4362.4
34,34,0
34,35,3402.1
34,36,20.6
34,37,107.3
34,38,802.7863
34,39,16.2
34,40,1362.5
34,41,40.1
34,42,53.6
34,43,107.1
34,44,58
34,45,5.9
34,46,85
34,47,64.338
35,1,0
35,2,1.2
35,3,1.3
35,4,2.8
35,5,0.2
35,6,0.8
35,7,2.2
35,8,5.7
35,9,3.6
35,10,2.2
35,11,8.7
35,12,17.1
35,13,864.673
35,14,74
35,15,3
35,16,4.7
35,17,10.5
35,18,5.8
35,19,1.3
35,20,6.2
35,21,11
35,22,33.9
35,23,128.8
35,24,2.6
35,25,15
35,26,111.8
35,27,462.1
35,28,167.1
35,29,3.1
35,30,5.5
35,31,10.1
35,32,71.6
35,33,164.7
35,34,3418.5
35,35,0
35,36,5.2
35,37,18.5
35,38,28.6323
35,39,4.1
35,40,4737.0576
35,41,18.3
35,42,19.6
35,43,36.2
35,44,40.5858
35,45,3.5
35,46,29.6
35,47,32.755
36,1,1.696
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
36,10,0
36,11,0.2
36,12,0.5
36,13,495.0697
36,14,2.1
36,15,0
36,16,0
36,17,0
36,18,0
36,19,0
36,20,0
36,21,0
36,22,1.4
36,23,3.3
36,24,0
36,25,0
36,26,1.5
36,27,5.6
36,28,1.9
36,29,0
36,30,71.011
36,31,1.3
36,32,1.6
36,33,44.3
36,34,20.4
36,35,5.2
36,36,0
36,37,291.3
36,38,6.6
36,39,21.6
36,40,42.1118
36,41,1
36,42,1.1
36,43,2.1
36,44,1.3
36,45,0
36,46,1.4
36,47,0
37,1,0
37,2,0.6
37,3,1.2
37,4,3.2
37,5,0
37,6,0.8
37,7,2.8
37,8,2.8
37,9,2.5
37,10,1.7
37,11,7.1
37,12,133.711
37,13,761.596
37,14,39.6
37,15,2.4
37,16,3.6
37,17,8.2
37,18,4.8
37,19,1.2
37,20,5.4
37,21,7.1
37,22,22.5
37,23,71.8
37,24,1.3
37,25,8.8
37,26,52.9
37,27,292.6
37,28,183.672
37,29,1.5
37,30,2.5
37,31,6.3
37,32,5.4
37,33,2710.5941
37,34,108.8
37,35,18.7
37,36,292.7
37,37,0
37,38,305.4
37,39,57
37,40,115.4931
37,41,4.6
37,42,7.4
37,43,10.1
37,44,6.1
37,45,0.8
37,46,7.4
37,47,56.93
38,1,15.714
38,2,0.1
38,3,0.4
38,4,1.2
38,5,0
38,6,0.1
38,7,1.4
38,8,1.3
38,9,1.6
38,10,0.8
38,11,3.9
38,12,127.647
38,13,801.946
38,14,21
38,15,1.2
38,16,1.7
38,17,3.6
38,18,2.2
38,19,0.1
38,20,2.4
38,21,4.4
38,22,14.4
38,23,87.466
38,24,1
38,25,5.7
38,26,28.1
38,27,517.453
38,28,40.977
38,29,0.8
38,30,1.2
38,31,2.5
38,32,1.9
38,33,148.3
38,34,843.4013
38,35,29.347
38,36,6.2
38,37,301.566
38,38,0
38,39,16.3
38,40,87.615
38,41,1.2
38,42,1.7
38,43,2.2
38,44,175.2911
38,45,0
38,46,7.459
38,47,38.406
39,1,0
39,2,0
39,3,0.1
39,4,0.2
39,5,0
39,6,0
39,7,0.1
39,8,0
39,9,0
